;i1;i2;i3;i4;i5
s1;360614;13.2;153071;275240;213
s2;263736;9.5;111409;117916;213
s3;628938;17.8;218122;492305;436
s4;479582;16.5;189495;134824;262
s5;600449;15.9;222567;411982;331
s6;299876;12.3;159338;185368;208
s7;171010;9.2;92436;124355;231
s8;354506;13.9;153228;231525;400
s9;521819;13.1;155918;145527;222
s10;357204;7.3;96041;179931;200
s11;307347;11.3;135895;171760;313
s12;701109;15.8;214814;300106;290
s13;392894;15.2;170675;250726;216
s14;604291;20.0;222424;387543;443
s15;272851;12.0;148268;159532;197
s16;327304;11.9;181352;168006;207
s17;356157;11.5;130337;181693;286
s18;152850;11.4;87223;147252;301
s19;295598;13.3;193606;160607;199
